"word","evaluation","potency","activity"
"adoration",1.87,-0.05,-0.98
"affection",1.89,-0.16,-1.08
"aggravation",-1.35,0.65,0.1
"agitation",-1.31,0.78,0.2
"agony",-1.37,0.44,-0.06
"alarm",-0.78,-0.05,1.43
"alienation",-1.28,-0.8,-0.24
"amazement",1.39,-0.05,1.53
"amusement",1.99,-0.26,0.24
"anger",-1.15,1.3,-0.05
"anguish",-1.35,0.17,0.08
"annoyance",-1.3,0.92,-0.12
"anxiety",-0.9,-0.48,1.11
"apprehension",-0.8,-0.27,1.16
"arousal",1.8,0.71,-0.27
"astonishment",0.74,0.07,1.83
"attraction",1.88,0.32,-1.03
"bitterness",-1.29,0.92,-0.31
"bliss",1.77,-0.01,-0.21
"caring",1.85,-0.31,-1
"cheerfulness",2.17,-0.07,0.13
"compassion",1.56,-0.54,-1.19
"contempt",-0.21,1.07,-0.47
"contentment",1.77,0.11,-0.46
"defeat",-1.36,-0.6,-0.12
"dejection",-1.33,-0.73,0.2
"delight",2.16,-0.11,0.13
"depression",-1.37,0.54,-0.11
"desire",1.61,0.38,-1.03
"despair",-1.37,0.51,0.05
"disappointment",-1.41,-0.39,0.33
"disgust",-1.27,1.01,-0.04
"dislike",-1.24,1.01,-0.3
"dismay",-1.23,0.45,0.19
"displeasure",-1.42,0.28,-0.25
"distress",-1.35,-0.49,0.37
"dread",-1.37,-0.16,0.29
"eagerness",1.71,-0.32,0.71
"ecstasy",1.98,-0.02,-0.2
"elation",1.97,-0.08,0.33
"embarrassment",-1.03,-0.94,0.37
"enjoyment",2.11,-0.11,0.09
"enthrallment",1.73,0.04,0.33
"enthusiasm",2.12,-0.03,0.32
"envy",-0.63,1.16,-0.68
"euphoria",1.93,0,-0.01
"exasperation",-0.73,0.45,0.88
"excitement",2.06,0.02,0.52
"exhilaration",1.87,-0.03,0.55
"fear",-1.1,0.1,1.15
"ferocity",-0.83,1.42,0.09
"fondness",1.93,0.04,-1.05
"fright",-1.04,0.31,1.11
"frustration",-1.33,-0.02,0
"fury",-0.99,1.28,0.25
"gaiety",2.06,-0.05,0.19
"gladness",2.14,-0.14,-0.04
"glee",2.04,-0.06,0.19
"gloom",-1.2,0.77,0.04
"glumness",-1.32,-0.84,-0.14
"grief",-1.35,-0.67,0.21
"grouchiness",-1.34,0.5,-0.28
"grumpiness",-1.35,0.35,-0.28
"guilt",-1.3,-0.62,-0.32
"happiness",2.14,-0.14,-0.13
"hate",-1.18,1.28,-0.13
"homesickness",-1.31,-0.84,0.25
"hope",1.89,-0.29,-0.28
"hopelessness",-1.35,-0.59,-0.11
"horror",-1.08,0.57,1.03
"hostility",1.08,1.29,-0.06
"humiliation",-1.34,-0.5,-0.08
"hurt",1.39,0.3,-0.36
"hysteria",-0.82,0.43,1.06
"infatuation",1.65,-0.16,-1.29
"insecurity",-1.26,-0.64,-0.12
"insult",-1.39,0.08,-0.24
"irritation",-1.3,0.86,0
"isolation",-1.09,-1.26,-0.15
"jealousy",0.72,1,-0.75
"jolliness",2.16,-0.08,0.21
"joviality",2.04,-0.04,0.18
"joy",2.15,-0.06,-0.05
"jubilation",2.14,0.06,0.31
"liking",2,-0.1,-0.77
"loathing",-1.1,1.06,-0.37
"loneliness",-1.22,-0.82,-0.35
"longing",0.43,-0.76,-0.84
"love",1.93,-0.08,-1.04
"lust",1.68,0.29,-1.15
"melancholy",-0.18,-1.17,0.01
"misery",-1.38,-0.5,-0.13
"mortification",-1.23,-0.13,0.59
"neglect",-1.34,-0.66,-0.12
"nervousness",-1.03,-0.4,1.14
"optimism",1.84,-0.21,0.42
"outrage",-1.14,1.25,-0.03
"panic",-1.05,0.02,1.18
"passion",1.91,0.19,-0.9
"pity",-0.97,-0.45,0.84
"pleasure",2.1,-0.09,-0.38
"pride",1.85,0.16,-0.2
"rage",-1.12,1.28,0.13
"rapture",1.5,0.19,-0.03
"regret",-1.32,-0.49,-0.27
"rejection",-1.32,-0.44,-0.32
"relief",1.65,-0.49,0.58
"remorse",-1.34,-0.5,0.3
"resentment",-1.27,0.95,-0.3
"revulsion",-1.2,0.9,-0.08
"sadness",-1.32,0.7,-0.27
"satisfaction",2.08,-0.12,-0.3
"scorn",-1.2,1.11,-0.16
"sentimentality",1.3,-0.53,-1.21
"shame",-1.37,-0.54,-0.3
"shock",-0.73,-0.08,1.43
"sorrow",-1.31,-0.72,-0.39
"spite",1.14,1.32,-0.16
"suffering",-1.37,0.52,-0.34
"surprise",1.25,-0.19,1.67
"sympathy",0.4,-1.36,1
"tenderness",1.69,-0.43,-1.02
"tenseness",-0.95,-0.09,1.07
"terror",-1.1,0.45,1.04
"thrill",1.94,-0.16,0.78
"torment",-1.39,0.39,-0.04
"triumph",2.05,-0.2,0.35
"uneasiness",-1.22,-0.46,0.72
"unhappiness",-1.37,-0.61,-0.32
"vengefulness",-1.14,1.27,-0.1
"woe",-1.05,-0.75,0.08
"worry",-1.29,-0.55,0.41
"wrath",-1.14,1.25,-0.05
"zeal",1.92,-0.32,0.34
"zest",2.13,-0.03,0.38
