"","index","word"
"1",19,"bliss"
"2",77,"insult"
"3",98,"panic"
"4",20,"caring"
"5",67,"homesickness"
"6",45,"envy"
"7",85,"liking"
"8",105,"regret"
"9",39,"ecstasy"
"10",121,"sympathy"
"11",70,"horror"
"12",6,"alarm"
"13",59,"gloom"
"14",89,"love"
"15",107,"relief"
"16",66,"hate"
"17",100,"pity"
"18",120,"surprise"
"19",83,"joy"
"20",28,"depression"
"21",97,"outrage"
"22",124,"terror"
"23",21,"cheerfulness"
"24",129,"unhappiness"
"25",9,"amusement"
"26",103,"rage"
"27",96,"optimism"
"28",60,"glumness"
"29",17,"attraction"
"30",50,"fear"
